ID,Target
ID_1,Medium
ID_2,High
ID_3,Low
ID_4,Medium
ID_5,High
ID_6,Low
ID_7,Medium
ID_8,High
ID_9,Low
ID_10,Medium
ID_11,High
ID_12,Low
ID_13,Medium
ID_14,High
ID_15,Low
ID_16,Medium
ID_17,High
ID_18,Low
ID_19,Medium
ID_20,High
ID_21,Low
ID_22,Medium
ID_23,High
ID_24,Low
ID_25,Medium
ID_26,High
ID_27,Low
ID_28,Medium
ID_29,High
ID_30,Low
ID_31,Medium
ID_32,High
ID_33,Low
ID_34,Medium
ID_35,High
ID_36,Low
ID_37,Medium
ID_38,High
ID_39,Low
ID_40,Medium
ID_41,High
ID_42,Low
ID_43,Medium
ID_44,High
ID_45,Low
ID_46,Medium
ID_47,High
ID_48,Low
ID_49,Medium
ID_50,High
ID_51,Low
ID_52,Medium
ID_53,High
ID_54,Low
ID_55,Medium
ID_56,High
ID_57,Low
ID_58,Medium
ID_59,High
ID_60,Low
ID_61,Medium
ID_62,High
ID_63,Low
ID_64,Medium
ID_65,High
ID_66,Low
ID_67,Medium
ID_68,High
ID_69,Low
ID_70,Medium
ID_71,High
ID_72,Low
ID_73,Medium
ID_74,High
ID_75,Low
ID_76,Medium
ID_77,High
ID_78,Low
ID_79,Medium
ID_80,High
ID_81,Low
ID_82,Medium
ID_83,High
ID_84,Low
ID_85,Medium
ID_86,High
ID_87,Low
ID_88,Medium
ID_89,High
ID_90,Low
ID_91,Medium
ID_92,High
ID_93,Low
ID_94,Medium
ID_95,High
ID_96,Low
ID_97,Medium
ID_98,High
ID_99,Low
ID_100,Medium
ID_101,High
ID_102,Low
ID_103,Medium
ID_104,High
ID_105,Low
ID_106,Medium
ID_107,High
ID_108,Low
ID_109,Medium
ID_110,High
ID_111,Low
ID_112,Medium
ID_113,High
ID_114,Low
ID_115,Medium
ID_116,High
ID_117,Low
ID_118,Medium
ID_119,High
ID_120,Low
ID_121,Medium
ID_122,High
ID_123,Low
ID_124,Medium
ID_125,High
ID_126,Low
ID_127,Medium
ID_128,High
ID_129,Low
ID_130,Medium
ID_131,High
ID_132,Low
ID_133,Medium
ID_134,High
ID_135,Low
ID_136,Medium
ID_137,High
ID_138,Low
ID_139,Medium
ID_140,High
ID_141,Low
ID_142,Medium
ID_143,High
ID_144,Low
ID_145,Medium
ID_146,High
ID_147,Low
ID_148,Medium
ID_149,High
ID_150,Low
ID_151,Medium
ID_152,High
ID_153,Low
ID_154,Medium
ID_155,High
ID_156,Low
ID_157,Medium
ID_158,High
ID_159,Low
ID_160,Medium
ID_161,High
ID_162,Low
ID_163,Medium
ID_164,High
ID_165,Low
ID_166,Medium
ID_167,High
ID_168,Low
ID_169,Medium
ID_170,High
ID_171,Low
ID_172,Medium
ID_173,High
ID_174,Low
ID_175,Medium
ID_176,High
ID_177,Low
ID_178,Medium
ID_179,High
ID_180,Low
ID_181,Medium
ID_182,High
ID_183,Low
ID_184,Medium
ID_185,High
ID_186,Low
ID_187,Medium
ID_188,High
ID_189,Low
ID_190,Medium
ID_191,High
ID_192,Low
ID_193,Medium
ID_194,High
ID_195,Low
ID_196,Medium
ID_197,High
ID_198,Low
ID_199,Medium
ID_200,High
ID_201,Low
ID_202,Medium
ID_203,High
